source_reindex,target_reindex,Relation
2045433.0,2045502.0,dc
2045433.0,2045508.0,dc
2045433.0,2045782.0,dc
2045502.0,2045508.0,dc
2045502.0,2045564.0,dc
2045502.0,2045908.0,dc
2045508.0,2045564.0,dc
2045508.0,2045577.0,dc
2045559.0,2045562.0,dc
2045559.0,2045694.0,dc
2045562.0,2045694.0,dc
2045562.0,2046419.0,dc
2045562.0,2068031.0,dc
2045562.0,2070593.0,dc
2045564.0,2045577.0,dc
2045564.0,2045586.0,dc
2045577.0,2045586.0,dc
2045577.0,2045598.0,dc
2045577.0,2046902.0,dc
2045577.0,2046760.0,dc
2045586.0,2045598.0,dc
2045586.0,2045642.0,dc
2045598.0,2045642.0,dc
2045598.0,2045654.0,dc
2045598.0,2046537.0,dc
2045598.0,2046691.0,dc
2045642.0,2045654.0,dc
2045642.0,2045682.0,dc
2045654.0,2045682.0,dc
2045654.0,2045699.0,dc
2045682.0,2045699.0,dc
2045682.0,2045701.0,dc
2045694.0,2046419.0,dc
2045694.0,2046448.0,dc
2045694.0,2070593.0,dc
2045699.0,2045701.0,dc
2045699.0,2045748.0,dc
2045701.0,2045748.0,dc
2045701.0,2045776.0,dc
2045701.0,2045924.0,dc
2045701.0,2046473.0,dc
2045748.0,2045776.0,dc
2045748.0,2045782.0,dc
2045776.0,2045782.0,dc
2045776.0,2045791.0,dc
2045776.0,2045985.0,dc
2045782.0,2045791.0,dc
2045782.0,2045824.0,dc
2045782.0,2045860.0,dc
2045791.0,2045824.0,dc
2045791.0,2045825.0,dc
2045824.0,2045825.0,dc
2045824.0,2045839.0,dc
2045824.0,2046537.0,dc
2045825.0,2045839.0,dc
2045825.0,2045860.0,dc
2045839.0,2045860.0,dc
2045839.0,2045895.0,dc
2045839.0,2047593.0,dc
2045839.0,2047513.0,dc
2045860.0,2045895.0,dc
2045860.0,2045900.0,dc
2045895.0,2045900.0,dc
2045895.0,2045908.0,dc
2045900.0,2045908.0,dc
2045900.0,2045910.0,dc
2045908.0,2045910.0,dc
2045908.0,2045924.0,dc
2045908.0,2050900.0,dc
2045910.0,2045924.0,dc
2045910.0,2045940.0,dc
2045924.0,2045940.0,dc
2045924.0,2045949.0,dc
2045940.0,2045949.0,dc
2045940.0,2045985.0,dc
2045949.0,2045985.0,dc
2045949.0,2045998.0,dc
2045985.0,2045998.0,dc
2045985.0,2046052.0,dc
2045985.0,2046855.0,dc
2045998.0,2046052.0,dc
2045998.0,2046111.0,dc
2045998.0,2046406.0,dc
2046005.0,2046114.0,dc
2046005.0,2046643.0,dc
2046052.0,2046111.0,dc
2046052.0,2046128.0,dc
2046111.0,2046128.0,dc
2046111.0,2046205.0,dc
2046114.0,2046643.0,dc
2046114.0,2047106.0,dc
2046128.0,2046205.0,dc
2046128.0,2046227.0,dc
2046205.0,2046227.0,dc
2046205.0,2046267.0,dc
2046205.0,2046760.0,dc
2046227.0,2046267.0,dc
2046227.0,2046285.0,dc
2046227.0,2046405.0,dc
2046267.0,2046285.0,dc
2046267.0,2046318.0,dc
2046285.0,2046318.0,dc
2046285.0,2046333.0,dc
2046285.0,2047156.0,dc
2046285.0,2046744.0,dc
2046318.0,2046333.0,dc
2046318.0,2046402.0,dc
2046333.0,2046402.0,dc
2046333.0,2046405.0,dc
2046381.0,2047724.0,dc
2046381.0,2047780.0,dc
2046402.0,2046405.0,dc
2046402.0,2046406.0,dc
2046405.0,2046406.0,dc
2046457.0,2046976.0,dc
2046406.0,2046457.0,dc
