source_reindex,target_reindex,Relation
2046257.0,2046419.0,hh
2045432.0,2046364.0,hh
2045432.0,2046406.0,hh
2045432.0,2047025.0,hh
2045433.0,2046183.0,hh
2045433.0,2046811.0,hh
2045434.0,2045925.0,hh
2045435.0,2047272.0,hh
2045437.0,2045940.0,hh
2045439.0,2046476.0,hh
2045440.0,2047055.0,hh
2045440.0,2047476.0,hh
2045442.0,2047485.0,hh
2045444.0,2046643.0,hh
2045445.0,2046951.0,hh
2045446.0,2045720.0,hh
2045446.0,2046352.0,hh
2045447.0,2045518.0,hh
2045447.0,2045730.0,hh
2045449.0,2046467.0,hh
2045449.0,2047236.0,hh
2045450.0,2047424.0,hh
2045451.0,2045569.0,hh
2045456.0,2045663.0,hh
2045457.0,2045827.0,hh
2045457.0,2046138.0,hh
2045458.0,2045700.0,hh
2045458.0,2046048.0,hh
2045458.0,2047117.0,hh
2045460.0,2046386.0,hh
2045460.0,2047436.0,hh
2045461.0,2045631.0,hh
2045461.0,2045981.0,hh
2045461.0,2046592.0,hh
2045462.0,2046771.0,hh
2045462.0,2047116.0,hh
2045464.0,2045612.0,hh
2045465.0,2047515.0,hh
2045466.0,2046026.0,hh
2045467.0,2045833.0,hh
2045467.0,2045994.0,hh
2045469.0,2047468.0,hh
2045471.0,2045473.0,hh
2045472.0,2045593.0,hh
2045472.0,2046058.0,hh
2045472.0,2047504.0,hh
2045475.0,2045942.0,hh
2045476.0,2045970.0,hh
2045476.0,2046208.0,hh
2045476.0,2046683.0,hh
2045477.0,2046182.0,hh
2045477.0,2047395.0,hh
2045478.0,2046327.0,hh
2045480.0,2045566.0,hh
2045480.0,2047047.0,hh
2045483.0,2045818.0,hh
2045483.0,2047461.0,hh
2045486.0,2045597.0,hh
2045486.0,2046823.0,hh
2045487.0,2046976.0,hh
2045492.0,2046316.0,hh
2045494.0,2047237.0,hh
2045496.0,2046371.0,hh
2045497.0,2046871.0,hh
2045497.0,2046915.0,hh
2045499.0,2047140.0,hh
2045500.0,2046540.0,hh
2045500.0,2046603.0,hh
2045501.0,2045668.0,hh
2045501.0,2046132.0,hh
2045501.0,2046323.0,hh
2045502.0,2047156.0,hh
2045503.0,2045559.0,hh
2045503.0,2046224.0,hh
2045504.0,2046068.0,hh
2045505.0,2046336.0,hh
2045505.0,2046500.0,hh
2045507.0,2045692.0,hh
2045507.0,2046277.0,hh
2045507.0,2047337.0,hh
2045508.0,2046747.0,hh
2045508.0,2046845.0,hh
2045510.0,2046318.0,hh
2045511.0,2046760.0,hh
2045512.0,2046029.0,hh
2045512.0,2046759.0,hh
2045512.0,2047401.0,hh
2045512.0,2047231.0,hh
2045513.0,2047235.0,hh
2045516.0,2045665.0,hh
2045516.0,2045798.0,hh
2045516.0,2047444.0,hh
2045517.0,2045941.0,hh
