source_reindex,target_reindex,Relation
2074560.0,2106958.0,sc
2090874.0,2091019.0,sc
2079559.0,2084054.0,sc
2047414.0,2047484.0,sc
2045432.0,2045456.0,sc
2045432.0,2045461.0,sc
2045435.0,2045803.0,sc
2045435.0,2045937.0,sc
2045435.0,2067240.0,sc
2045435.0,2067690.0,sc
2045440.0,2045455.0,sc
2045440.0,2045613.0,sc
2045444.0,2045460.0,sc
2045444.0,2045476.0,sc
2045455.0,2045613.0,sc
2045455.0,2045635.0,sc
2045456.0,2045461.0,sc
2045456.0,2045466.0,sc
2045456.0,2071147.0,sc
2045456.0,2049228.0,sc
2045457.0,2045643.0,sc
2045457.0,2045724.0,sc
2045460.0,2045476.0,sc
2045460.0,2045525.0,sc
2045461.0,2045466.0,sc
2045461.0,2045481.0,sc
2045466.0,2045481.0,sc
2045466.0,2045509.0,sc
2045471.0,2045473.0,sc
2045471.0,2045501.0,sc
2045473.0,2045501.0,sc
2045473.0,2045507.0,sc
2045476.0,2045525.0,sc
2045476.0,2045560.0,sc
2045481.0,2045509.0,sc
2045481.0,2045553.0,sc
2045501.0,2045507.0,sc
2045501.0,2045512.0,sc
2045507.0,2045512.0,sc
2045507.0,2045513.0,sc
2045507.0,2046008.0,sc
2045509.0,2045553.0,sc
2045509.0,2045566.0,sc
2045512.0,2045513.0,sc
2045512.0,2045519.0,sc
2045512.0,2045798.0,sc
2045513.0,2045519.0,sc
2045513.0,2045556.0,sc
2045519.0,2045556.0,sc
2045519.0,2045568.0,sc
2045525.0,2045560.0,sc
2045525.0,2045576.0,sc
2045553.0,2045566.0,sc
2045553.0,2045579.0,sc
2045553.0,2067097.0,sc
2045556.0,2045568.0,sc
2045556.0,2045599.0,sc
2045560.0,2045576.0,sc
2045560.0,2045583.0,sc
2045560.0,2046127.0,sc
2045566.0,2045579.0,sc
2045566.0,2045593.0,sc
2045566.0,2047221.0,sc
2045568.0,2045599.0,sc
2045568.0,2045602.0,sc
2045576.0,2045583.0,sc
2045576.0,2045667.0,sc
2045579.0,2045593.0,sc
2045579.0,2045601.0,sc
2045583.0,2045667.0,sc
2045583.0,2045727.0,sc
2045593.0,2045601.0,sc
2045593.0,2045603.0,sc
