source_reindex,target_reindex,Relation
2046427,2048434,wk
2046427,2160123,wk
2046427,2049165,wk
2046427,2150857,wk
2046427,2061451,wk
2046427,2049436,wk
2046427,2051018,wk
2047420,2045920,wk
2047420,2160060,wk
2047420,2048041,wk
2047420,2158826,wk
2047420,2075741,wk
2047420,2058899,wk
2047420,2113967,wk
2047993,2046227,wk
2047993,2159710,wk
2047993,2049832,wk
2047993,2159005,wk
2047993,2070039,wk
2047993,2059836,wk
2047993,2053154,wk
2047993,2150997,wk
2048296,2045474,wk
2048296,2161129,wk
2048296,2046494,wk
2048296,2159840,wk
2048296,2128975,wk
2048296,2066112,wk
2045920,2048041,wk
2045920,2048146,wk
2045920,2160060,wk
2045920,2135625,wk
2045920,2046680,wk
2046021,2136894,wk
2046021,2146516,wk
2046322,2046934,wk
2046322,2160179,wk
2046322,2053390,wk
2046322,2158919,wk
2046322,2100125,wk
2046322,2062367,wk
2046322,2060587,wk
2046322,2157922,wk
2046824,2047976,wk
2046824,2162737,wk
2046824,2045618,wk
2046824,2157151,wk
2046824,2128837,wk
2046824,2058705,wk
2046824,2048871,wk
2046824,2134312,wk
2047222,2156764,wk
2047520,2048063,wk
2047520,2159706,wk
2047520,2048205,wk
2047520,2159671,wk
2047520,2115667,wk
2047520,2065663,wk
2047825,2053861,wk
2047825,2114103,wk
2047856,2048068,wk
2047856,2159995,wk
2047856,2045914,wk
2047856,2157631,wk
2047856,2070180,wk
2047856,2054093,wk
2047856,2149078,wk
2047896,2048187,wk
2047896,2160380,wk
2047896,2045630,wk
2047896,2159735,wk
2047896,2133229,wk
2047896,2064896,wk
2047896,2053434,wk
2047896,2144113,wk
2047984,2050888,wk
2047984,2153217,wk
2047984,2054429,wk
2047984,2150039,wk
2047984,2111310,wk
2047984,2093723,wk
2048015,2050098,wk
2048015,2154457,wk
2048015,2053684,wk
2048015,2152242,wk
2048015,2123714,wk
2048015,2150637,wk
2048015,2138991,wk
2048045,2046645,wk
2048045,2161285,wk
2048045,2046776,wk
2048045,2160290,wk
2048045,2068473,wk
2048045,2054865,wk
2048045,2047200,wk
2048045,2159751,wk
2048063,2048205,wk
2048063,2045651,wk
2048063,2159706,wk
2048063,2146918,wk
2048063,2063804,wk
2048074,2046012,wk
2048074,2158396,wk
2048074,2051668,wk
2048074,2157173,wk
2048074,2065698,wk
2048074,2055667,wk
2048074,2151430,wk
2048155,2046929,wk
2048155,2155287,wk
2048155,2051595,wk
2048155,2153143,wk
2048155,2059342,wk
2048155,2053270,wk
2048174,2045911,wk
2048174,2159277,wk
2048174,2046123,wk
2048174,2158705,wk
2048174,2069193,wk
2048174,2056266,wk
2048174,2075428,wk
2048196,2048303,wk
2048196,2159470,wk
2048196,2045758,wk
2048196,2159165,wk
2048196,2062236,wk
2048196,2053126,wk
2048196,2050323,wk
2048196,2138888,wk
2048215,2046896,wk
2048215,2162257,wk
2048215,2047879,wk
2048215,2161304,wk
2048215,2065809,wk
2048215,2057247,wk
2048226,2046555,wk
2048226,2160191,wk
2048226,2048007,wk
2048226,2160115,wk
2048226,2061697,wk
2048226,2052643,wk
2048226,2065715,wk
2048235,2048246,wk
2048235,2158512,wk
2048235,2048011,wk
2048235,2158439,wk
2048235,2070117,wk
2048235,2058617,wk
2048235,2152385,wk
2048246,2048011,wk
2048246,2046473,wk
2048246,2158512,wk
2048246,2126367,wk
2048266,2049850,wk
2048266,2076388,wk
2048266,2132582,wk
2048266,2146804,wk
2048316,2047324,wk
2048316,2162648,wk
2048316,2047834,wk
2048316,2162415,wk
2048316,2113538,wk
2048316,2064003,wk
2048326,2048369,wk
2048326,2162779,wk
2048326,2045607,wk
2048326,2156952,wk
2048326,2107070,wk
2048326,2059070,wk
2048326,2047672,wk
2048365,2047509,wk
2048365,2157549,wk
2048365,2048952,wk
2048365,2157297,wk
2048365,2079022,wk
2048365,2059981,wk
2048365,2049521,wk
2048441,2045997,wk
2048441,2159665,wk
2048441,2046031,wk
2048441,2158549,wk
2048441,2131826,wk
2048441,2060197,wk
2048441,2137612,wk
2045513,2047175,wk
2045513,2159684,wk
2045513,2047525,wk
2045513,2158375,wk
2045513,2064033,wk
2045513,2054834,wk
2045513,2054505,wk
2045524,2049221,wk
2045524,2156647,wk
2045524,2050965,wk
2045524,2154108,wk
2045524,2107205,wk
2045524,2054424,wk
2045524,2052581,wk
2045563,2118225,wk
2045571,2053302,wk
2045571,2157935,wk
2045571,2052446,wk
2045571,2153549,wk
2045571,2105906,wk
2045571,2063600,wk
2045571,2056596,wk
2045591,2051078,wk
2045591,2161976,wk
2045591,2062471,wk
2045591,2161964,wk
2045591,2083390,wk
2045591,2078270,wk
2045591,2085097,wk
2045591,2090760,wk
2045600,2045617,wk
2045600,2158133,wk
2045600,2048499,wk
2045600,2157794,wk
2045600,2074615,wk
2045600,2055991,wk
2045600,2054763,wk
2045621,2048251,wk
2045621,2160396,wk
2045621,2045873,wk
2045621,2158698,wk
2045621,2116513,wk
2045621,2060143,wk
2045621,2050567,wk
2045621,2141219,wk
2045632,2047452,wk
2045632,2161939,wk
2045632,2047848,wk
2045632,2160348,wk
2045632,2059165,wk
2045632,2053556,wk
2045632,2062532,wk
2045649,2061946,wk
2045649,2156865,wk
2045649,2077367,wk
2045649,2160499,wk
2045649,2109222,wk
2045649,2127886,wk
2045649,2082615,wk
2045764,2046488,wk
2045764,2160375,wk
2045764,2045827,wk
2045764,2160139,wk
2045764,2129013,wk
2045764,2063369,wk
2045764,2139352,wk
2045775,2048389,wk
2045775,2158359,wk
2045775,2048437,wk
2045775,2158129,wk
