source_reindex,target_reindex,Relation
2045430,2045461.0,hh
2046021,2046382.0,hh
2046021,2046521.0,hh
2046021,2047129.0,hh
2046021,2047658.0,hh
2047933,2045441.0,hh
2047933,2047033.0,hh
2047933,2047350.0,hh
2047933,2047661.0,hh
2048266,2046104.0,hh
2048365,2048032.0,hh
2048365,2047143.0,hh
2048483,2046367.0,hh
2048483,2046649.0,hh
2045591,2047886.0,hh
2045878,2045624.0,hh
2046189,2045995.0,hh
2046189,2046928.0,hh
2046208,2047582.0,hh
2046208,2047704.0,hh
2046208,2048120.0,hh
2046208,2047171.0,hh
2046208,2045926.0,hh
2046267,2047918.0,hh
2046267,2047611.0,hh
2046267,2045948.0,hh
2046267,2046911.0,hh
2046267,2046857.0,hh
2046386,2045525.0,hh
2046386,2045923.0,hh
2046386,2046335.0,hh
2046604,2048303.0,hh
2046604,2046607.0,hh
2046707,2046387.0,hh
2046795,2048364.0,hh
2046795,2045473.0,hh
2046795,2046703.0,hh
2046814,2045656.0,hh
2046814,2045732.0,hh
2046814,2047505.0,hh
2046875,2045468.0,hh
2046875,2045836.0,hh
2046965,2046836.0,hh
2046965,2047446.0,hh
2046965,2047462.0,hh
2047065,2048002.0,hh
2047065,2048152.0,hh
2047201,2046341.0,hh
2047201,2046941.0,hh
2047422,2048242.0,hh
2047422,2045720.0,hh
2047422,2045939.0,hh
2047422,2046854.0,hh
2047482,2047725.0,hh
2047582,2048120.0,hh
2047582,2045531.0,hh
2047582,2047704.0,hh
2047582,2045926.0,hh
2047582,2047171.0,hh
2047843,2046429.0,hh
2047878,2048209.0,hh
2047889,2045545.0,hh
2047889,2046383.0,hh
2047889,2046877.0,hh
2047889,2047691.0,hh
2047890,2048175.0,hh
2047890,2046302.0,hh
2047890,2046419.0,hh
2047890,2046740.0,hh
2047897,2048130.0,hh
2047897,2047486.0,hh
2047897,2047567.0,hh
2047900,2048304.0,hh
2047900,2047687.0,hh
2047900,2047238.0,hh
2047900,2047612.0,hh
2047900,2047362.0,hh
2047903,2048477.0,hh
2047908,2047504.0,hh
2047918,2045948.0,hh
2047918,2046857.0,hh
2047918,2047611.0,hh
2047918,2046911.0,hh
2047927,2045752.0,hh
2047927,2046112.0,hh
2047939,2048011.0,hh
2047939,2048214.0,hh
2047939,2048430.0,hh
2047974,2048331.0,hh
2047974,2045537.0,hh
2047974,2045665.0,hh
2047995,2047080.0,hh
2048002,2048152.0,hh
2048011,2048214.0,hh
2048011,2048430.0,hh
2048032,2047143.0,hh
2048049,2047388.0,hh
2048055,2047093.0,hh
2048055,2047456.0,hh
2048055,2047473.0,hh
2048062,2045997.0,hh
2048062,2046640.0,hh
2048062,2046841.0,hh
2048062,2046989.0,hh
2048064,2048443.0,hh
2048064,2047045.0,hh
2048089,2045690.0,hh
2048089,2045776.0,hh
2048089,2046592.0,hh
2048112,2046185.0,hh
2048112,2046447.0,hh
2048119,2047346.0,hh
2048120,2045531.0,hh
2048120,2045926.0,hh
2048120,2047704.0,hh
2048120,2047171.0,hh
2048128,2048182.0,hh
2048128,2048399.0,hh
2048128,2045956.0,hh
2048128,2047407.0,hh
2048130,2047486.0,hh
2048130,2047567.0,hh
2048142,2047270.0,hh
2048158,2045541.0,hh
2048175,2046302.0,hh
2048175,2046419.0,hh
2048175,2046740.0,hh
2048182,2048399.0,hh
2048182,2045956.0,hh
2048182,2047407.0,hh
2048214,2048430.0,hh
2048242,2045720.0,hh
2048242,2045939.0,hh
2048242,2046854.0,hh
2048263,2046223.0,hh
2048271,2046066.0,hh
2048303,2046607.0,hh
2048304,2047238.0,hh
2048304,2047362.0,hh
