source_reindex,target_reindex,Relation
2047582,2086491,sc
2047582,2140249,sc
2047582,2150955,sc
2047582,2089987,sc
2047582,2067494,sc
2047900,2127813,sc
2047900,2143215,sc
2047900,2106887,sc
2047900,2123266,sc
2047900,2145416,sc
2047900,2089188,sc
2047939,2074331,sc
2047939,2161494,sc
2047939,2106210,sc
2047939,2064250,sc
2048055,2120151,sc
2048055,2094674,sc
2048055,2154977,sc
2048055,2119792,sc
2048055,2064589,sc
2048055,2068520,sc
2048055,2088036,sc
2048062,2150506,sc
2048062,2115541,sc
2048062,2063008,sc
2048062,2049419,sc
2048062,2106819,sc
2048064,2117247,sc
2048064,2058265,sc
2048064,2086701,sc
2048064,2072562,sc
2048120,2131733,sc
2048120,2095282,sc
2048120,2070841,sc
2048120,2155637,sc
2048120,2074977,sc
2048152,2073660,sc
2048152,2054144,sc
2048152,2130667,sc
2048152,2115239,sc
2048152,2139380,sc
2048152,2117473,sc
2048182,2128672,sc
2048182,19093605,sc
2048182,2139256,sc
2048182,2162563,sc
2048182,2145332,sc
2048182,2150861,sc
2048209,2050514,sc
2048209,2143276,sc
2048209,2135663,sc
2048209,2111279,sc
2048209,2104449,sc
2048214,2065781,sc
2048214,2126354,sc
2048214,2124749,sc
2048214,2114088,sc
2048242,2053597,sc
2048242,2148402,sc
2048242,2066954,sc
2048242,2128672,sc
2048304,2058871,sc
2048304,2046382,sc
2048304,2114164,sc
2048304,2120771,sc
2048304,2122558,sc
2048304,2057531,sc
2048364,2060405,sc
2048364,2153257,sc
2048364,2115148,sc
2048364,2094933,sc
2048443,2152396,sc
2048443,2131728,sc
2048443,2062641,sc
2048443,2124104,sc
2048443,2058513,sc
2045441,2125820,sc
2045441,2162886,sc
2045441,2083065,sc
2045441,2150238,sc
2045473,2142520,sc
2045473,2102974,sc
2045473,2050183,sc
2045473,2144588,sc
2045473,2053106,sc
2045545,2124104,sc
2045545,2075749,sc
2045545,2080867,sc
2045545,2125421,sc
2045545,2149363,sc
2045732,2084953,sc
2045732,2133740,sc
2045732,2153534,sc
2045732,2116718,sc
2045732,2137808,sc
2045732,2130515,sc
2045783,2052849,sc
2045783,2091176,sc
2045783,2150526,sc
2045783,2047125,sc
2045783,2113259,sc
2045820,2091184,sc
2045820,2046584,sc
2045820,2118781,sc
2045820,2046941,sc
2045820,2151717,sc
2045820,2078469,sc
2045865,2095572,sc
2045865,2145881,sc
2045865,2071529,sc
2045865,2131145,sc
2045865,2150261,sc
2045865,2053821,sc
2045912,2073388,sc
2045912,2094059,sc
2045912,2058343,sc
2045912,2137838,sc
2045912,2074947,sc
2045912,2065707,sc
2045912,2141890,sc
2045923,2121162,sc
2045923,2109152,sc
2045923,2070377,sc
2045923,2148241,sc
2045960,2088067,sc
2045960,2104025,sc
2045960,2143849,sc
2045960,2159048,sc
2045960,2142513,sc
2045960,2124064,sc
2045960,2085985,sc
2046026,2149011,sc
2046026,2139955,sc
2046026,2102323,sc
2046026,2072399,sc
2046026,2160767,sc
2046026,2089022,sc
2046072,2083707,sc
2046072,2153511,sc
2046072,2051369,sc
2046072,2073660,sc
2046072,2147353,sc
2046072,2046447,sc
2046204,2061533,sc
2046204,2067514,sc
2046204,2126766,sc
2046204,2110103,sc
2046302,2147353,sc
2046302,2098772,sc
2046302,2082745,sc
2046302,2159140,sc
2046302,2064041,sc
2046341,2144773,sc
2046341,2133572,sc
2046341,2144277,sc
2046341,2049141,sc
2046341,2130489,sc
2046382,2089836,sc
2046382,2156258,sc
2046382,2050097,sc
2046382,2114164,sc
2046382,2105320,sc
2046387,2142237,sc
2046387,2108353,sc
2046387,2051960,sc
2046387,2071932,sc
2046387,2150270,sc
2046387,2067255,sc
2046394,2159420,sc
2046394,2085013,sc
2046394,2159597,sc
2046394,2108720,sc
2046394,2090995,sc
2046419,2089251,sc
2046419,2141197,sc
2046419,2075733,sc
2046419,2047653,sc
2046447,2051883,sc
2046447,2054144,sc
2046447,2130588,sc
2046447,2137135,sc
2046584,2118434,sc
2046584,2054741,sc
2046584,2124388,sc
2046584,2049768,sc
2046649,2153874,sc
2046649,2118657,sc
2046649,2071820,sc
2046649,2063596,sc
2046649,2090995,sc
2046731,2087778,sc
2046731,2067381,sc
2046731,2161507,sc
2046731,2084426,sc
2046740,2119638,sc
2046740,2103443,sc
2046740,2157397,sc
2046740,2105258,sc
2046764,2093377,sc
2046764,2054483,sc
2046764,2139454,sc
2046764,2149753,sc
2046765,2094674,sc
2046765,2148864,sc
2046765,2077053,sc
2046765,2084815,sc
2046765,2124919,sc
2046765,2053249,sc
2046780,2052507,sc
2046780,2150576,sc
2046780,2139551,sc
2046780,2073719,sc
2046780,2115854,sc
2046780,2111710,sc
2046780,2052017,sc
2046780,2124272,sc
2046854,2064093,sc
2046854,2056292,sc
2046854,2049610,sc
2046854,2103431,sc
2046854,2131073,sc
2046854,2106011,sc
2046857,2059822,sc
2046857,2067445,sc
2046857,2159670,sc
2046857,2147600,sc
2046857,2138200,sc
2046941,2117679,sc
2046941,2087234,sc
2046941,2118781,sc
2046941,2151717,sc
2046971,2130897,sc
2046971,2066281,sc
2046971,2114743,sc
2046971,2050623,sc
2046971,2146332,sc
2046971,2127266,sc
2047057,2080619,sc
2047057,2117933,sc
2047057,2059492,sc
2047057,2089012,sc
2047093,2054765,sc
2047093,2150689,sc
2047093,2154817,sc
2047093,2142292,sc
2047093,2114982,sc
2047125,2108218,sc
2047125,2150526,sc
2047125,2113259,sc
2047125,2116380,sc
2047143,2129583,sc
2047143,2077116,sc
2047143,2124223,sc
2047143,2087561,sc
2047171,2141883,sc
2047171,2071043,sc
2047171,2059639,sc
2047171,2085882,sc
2047171,2047612,sc
2047213,2121398,sc
2047213,2148347,sc
2047213,2128769,sc
2047213,2151939,sc
2047258,2139282,sc
2047258,2088871,sc
2047258,2141375,sc
2047258,2161868,sc
2047329,19087806,sc
2047329,2156678,sc
2047329,2153141,sc
2047329,2088685,sc
2047329,2156680,sc
2047329,2124554,sc
2047362,2147600,sc
2047362,2134973,sc
2047362,2072850,sc
2047362,2084709,sc
2047362,2089511,sc
2047462,2063596,sc
2047462,2133740,sc
2047462,2127805,sc
2047462,2129703,sc
2047504,2162579,sc
2047504,2058750,sc
2047504,2126728,sc
2047504,2138099,sc
2047504,2053127,sc
2047505,2145277,sc
2047505,2076080,sc
2047505,2084657,sc
2047505,2107944,sc
2047572,2066117,sc
2047572,2072444,sc
2047572,2130300,sc
2047572,2061628,sc
2047572,2138252,sc
2047612,2115795,sc
2047612,2085882,sc
