source_reindex,target_reindex,Relation
2045430,2045524,sm
2045430,2045591,sm
2045430,2045878,sm
2045430,2046267,sm
2045430,2046795,sm
2045430,2046814,sm
2045430,2047065,sm
2045430,2047582,sm
2045430,2045468,sm
2045430,2045833,sm
2045430,2046057,sm
2045430,2046504,sm
2045430,2046978,sm
2045430,2051143,sm
2045430,2051595,sm
2045430,2051661,sm
2045430,2051755,sm
2045430,2049246,sm
2045430,2049944,sm
2045430,2050655,sm
2045430,2050742,sm
2045430,2050839,sm
2045430,2051117,sm
2045430,2053240,sm
2045430,2053529,sm
2045430,2053609,sm
2045430,2053680,sm
2045430,2052206,sm
2045430,2052442,sm
2045430,2052596,sm
2045430,2052901,sm
2045430,2053086,sm
2045430,2057546,sm
2045430,2057478,sm
2045430,2054304,sm
2045430,2054895,sm
2045430,2055456,sm
2045430,2055965,sm
2045430,2056102,sm
2045430,2056705,sm
2045430,2056856,sm
2045430,2059305,sm
2045430,2060156,sm
2045430,2058553,sm
2045430,2061875,sm
2045430,2067107,sm
2045430,2067329,sm
2045430,2063876,sm
2045430,2065120,sm
2045430,2071148,sm
2045430,2068209,sm
2045430,2069946,sm
2045430,2070245,sm
2045430,2070427,sm
2045430,2071702,sm
2045430,2073319,sm
2045430,2074725,sm
2045430,2075894,sm
2045430,2080087,sm
2045430,2080224,sm
2045430,2080300,sm
2045430,2078592,sm
2045430,2083066,sm
2045430,2085567,sm
2045430,2085652,sm
2045430,2084194,sm
2045430,2086637,sm
2045430,2089412,sm
2045430,2092206,sm
2045430,2096246,sm
2045430,2094030,sm
2045430,2101558,sm
2045430,2101756,sm
2045430,2106177,sm
2045430,2105512,sm
2045430,2107443,sm
2045430,2108688,sm
2045430,2115907,sm
2045430,2114184,sm
2045430,2114427,sm
2045430,2118526,sm
2045430,2119587,sm
2045430,2120703,sm
2045430,2119730,sm
2045430,2119983,sm
2045430,2120860,sm
2045430,2120892,sm
2045430,2121250,sm
2045430,2121910,sm
2045430,2124554,sm
2045430,2129583,sm
2045430,2129703,sm
2045430,2130197,sm
2045430,2133761,sm
2045430,2134918,sm
2045430,2135063,sm
2045430,2135530,sm
2045430,2140870,sm
2045430,2140024,sm
2045430,2142460,sm
2045430,2148227,sm
2045430,2149707,sm
2045430,2150875,sm
2045430,2151864,sm
2045430,2156299,sm
2045430,2153006,sm
2045430,2153725,sm
2045430,2154368,sm
2045430,2158924,sm
2045430,2159722,sm
2045430,2162971,sm
2045430,2162481,sm
2045430,2162563,sm
2045430,19090287,sm
2045430,19090294,sm
