source_reindex,target_reindex,Relation
2045430,2048916,wk
2045430,19088036,wk
2045430,2049541,wk
2045430,19087510,wk
2045430,2110582,wk
2046021,2046448,wk
2046021,19096004,wk
2046021,2046898,wk
2046021,19093494,wk
2046021,2123569,wk
2048483,2059011,wk
2048483,19094908,wk
2048483,2063397,wk
2048483,19093072,wk
2048483,2120897,wk
2048483,2131167,wk
2045524,2047117,wk
2045524,19094913,wk
2045524,2048706,wk
2045524,19088121,wk
2045524,2055592,wk
2045524,2128678,wk
2045524,2129061,wk
2045524,2137238,wk
2045524,2143314,wk
2045524,2160549,wk
2045591,2054346,wk
2045591,19087665,wk
2045591,2059086,wk
2045591,19086527,wk
2045591,2074529,wk
2045591,2115985,wk
2045878,2049159,wk
2045878,19094033,wk
2045878,2052636,wk
2045878,19092259,wk
2045878,2088942,wk
2045878,2072266,wk
2046208,2063609,wk
2046208,19094806,wk
2046208,2070361,wk
2046208,19091721,wk
2046208,2137294,wk
2046208,2126767,wk
2046208,2152674,wk
2046267,2049455,wk
2046267,2158313,wk
2046267,2052909,wk
2046267,2146737,wk
2046267,2095655,wk
2046386,2046965,wk
2046386,2156577,wk
2046386,2047233,wk
2046386,2145387,wk
2046386,2103325,wk
2046386,2050904,wk
2046604,2048685,wk
2046604,19091235,wk
2046604,2049401,wk
2046604,19089354,wk
2046604,2149376,wk
2046604,2094429,wk
2046604,2057773,wk
2046604,2132479,wk
2046707,2057973,wk
2046707,2154346,wk
2046707,2063048,wk
2046707,2150144,wk
2046707,2122281,wk
2046795,2056822,wk
2046795,2138769,wk
2046795,2061145,wk
2046795,2128981,wk
2046795,2114639,wk
2046795,2106098,wk
2046795,2127522,wk
2046814,2052182,wk
2046814,19090384,wk
2046814,2050010,wk
2046814,2161025,wk
2046814,2158312,wk
2046875,2047388,wk
2046875,2160097,wk
2046875,2074230,wk
2046875,2143886,wk
2046965,2047233,wk
2046965,2050904,wk
2046965,2156577,wk
2046965,2117155,wk
2046965,2145387,wk
2047065,2050360,wk
2047065,19089306,wk
2047065,2053585,wk
2047065,19089175,wk
2047201,2048771,wk
2047201,19092117,wk
2047201,2054092,wk
2047201,19090460,wk
2047201,2128452,wk
2047201,2085980,wk
2047201,2087873,wk
2047765,2048796,wk
2047765,19086890,wk
2047765,2059638,wk
2047765,2162425,wk
2047765,2102974,wk
2047765,2077984,wk
2047765,2094030,wk
2047843,2068246,wk
2047843,2151208,wk
2047843,2081992,wk
2047843,2149707,wk
2047843,2147673,wk
2047843,2101653,wk
2047886,2046057,wk
2047886,19091606,wk
2047886,2048984,wk
2047886,19091575,wk
2047886,2143277,wk
2047897,2048303,wk
2047897,19094674,wk
2047897,2048445,wk
2047897,19092313,wk
2047927,2049890,wk
2047927,19091502,wk
2047927,2056219,wk
2047927,2160271,wk
2047927,2131937,wk
2047927,2152899,wk
2047927,2085331,wk
2047927,2096244,wk
2047974,2056440,wk
2047974,2154020,wk
2047974,2068628,wk
2047974,2153068,wk
2047974,2141407,wk
2047974,2095142,wk
2047974,2152015,wk
2047995,2050425,wk
2047995,19093560,wk
2047995,2053072,wk
2047995,19090980,wk
2047995,2162475,wk
2048011,2045656,wk
2048011,19095755,wk
2048011,2047080,wk
2048011,19095321,wk
2048049,2061865,wk
2048049,19091169,wk
2048049,2067250,wk
2048049,19089403,wk
2048049,2088283,wk
2048049,2121713,wk
2048049,2095475,wk
2048049,2107971,wk
2048062,2045843,wk
2048062,19092398,wk
2048062,2048781,wk
2048062,19092446,wk
2048062,2095894,wk
2048062,2065178,wk
2048062,2128047,wk
2048103,2049678,wk
2048103,19094742,wk
2048103,2055399,wk
2048103,19092323,wk
2048103,2068386,wk
2048103,2122914,wk
2048103,2132736,wk
2048112,2055469,wk
2048112,19094815,wk
2048112,2063007,wk
2048112,19091340,wk
2048112,2137260,wk
2048119,2046177,wk
2048119,19093008,wk
2048119,2047329,wk
2048119,2161452,wk
2048119,2143700,wk
2048128,2047045,wk
2048128,2151809,wk
2048128,2055487,wk
2048128,2147530,wk
2048128,2131256,wk
2048128,2066940,wk
2048130,2046080,wk
2048130,19095482,wk
2048130,2051595,wk
2048130,19092715,wk
2048130,2110626,wk
2048130,2153985,wk
2048158,2052908,wk
2048158,2163464,wk
2048158,2055939,wk
2048158,2163030,wk
2048158,2056653,wk
2048263,2048459,wk
2048263,19086649,wk
2048263,2057256,wk
2048263,2161635,wk
2048263,2055797,wk
2048263,2129604,wk
2048271,2055301,wk
2048271,19087523,wk
2048271,2063202,wk
2048271,2151493,wk
2048271,2149069,wk
2048303,2048445,wk
2048303,2047639,wk
2048303,19094674,wk
2048303,2146941,wk
2048303,2143466,wk
2048303,2106819,wk
2048303,2128003,wk
2048331,2050381,wk
2048331,19088517,wk
2048331,2057767,wk
2048331,2152275,wk
2048331,2088916,wk
2048331,2063135,wk
2048331,2107729,wk
2048340,2046640,wk
2048340,19094378,wk
2048340,2051599,wk
2048340,19092451,wk
2048340,2062401,wk
2048393,2047406,wk
2048393,19094843,wk
2048393,2049196,wk
2048393,19089509,wk
2048393,2087172,wk
2048393,2108728,wk
2048393,2122767,wk
2048399,2047078,wk
2048399,19094526,wk
2048399,2049680,wk
2048399,19092516,wk
2048399,2155736,wk
2048399,2154586,wk
2048399,2138701,wk
2048399,2160070,wk
2048407,2046112,wk
2048407,19094383,wk
2048407,2052425,wk
