id,age,gender,hhold,htype,wp,urban,reindex,GEOID_cty,if_employed,household_id,family_size,tractid,countyid,personal_income,education,occupation,health_insurance,FINCP,HHT,num_children,_temp_grid,new_workplace,new_school,new_daycare
36013030100i1,47.0,f,36013030100h107,0.0,36013030100h107,True,2045430,36013,0,80,2,30100,13,7000.0,17.0,6.0,2.0,97000.0,0.0,0,1,wp_44_1,,
36013030100i16,32.0,f,36013030100h258,1.0,36117020402w9,True,2046021,36013,1,628,5,30100,13,18000.0,16.0,1.0,1.0,144600.0,1.0,2,1,wp_181_1,,
36013030100i44,2.0,m,36013030100h515,3.0,36013030100d1,True,2047933,36013,0,914,5,30100,13,100.0,14.0,1.0,1.0,104750.0,3.0,3,1,,,dc_13_1
36013030100i77,71.0,m,36013030100h15,0.0,36051030203w6,True,2048266,36013,1,508,2,30100,13,42720.0,16.0,1.0,1.0,83720.0,0.0,0,1,,,
36013030100i87,87.0,m,36013030100h538,3.0,36013030300w14,True,2048365,36013,1,939,3,30100,13,17500.0,17.0,1.0,1.0,59000.0,3.0,1,1,,,
36013030100i99,64.0,f,36013030100h1280,9.0,36013030100h1280,True,2048483,36013,0,314,3,30100,13,28900.0,22.0,3.0,1.0,63900.0,9.0,1,1,wp_190_1,,
36013030100i109,36.0,f,36013030100h942,7.0,36013037100w16,True,2045524,36013,1,1388,1,30100,13,52000.0,22.0,3.0,1.0,52000.0,7.0,0,1,wp_214_1,,
36013030100i116,50.0,m,36013030100h1449,10.0,36013035600w19,True,2045591,36013,1,501,2,30100,13,65000.0,24.0,2.0,1.0,117800.0,10.0,0,1,wp_233_1,,
36013030100i146,51.0,m,36013030100h58,0.0,36013030700w5,True,2045878,36013,1,985,2,30100,13,138050.0,21.0,1.0,1.0,138050.0,0.0,0,1,wp_215_1,,
36013030100i176,89.0,f,36013030100h74,0.0,36013030300w19,True,2046189,36013,1,1163,3,30100,13,163600.0,16.0,6.0,1.0,209900.0,0.0,0,1,,,
36013030100i178,64.0,f,36013030100h366,1.0,36013030500w15,True,2046208,36013,1,748,7,30100,13,45000.0,22.0,2.0,1.0,174310.0,1.0,5,1,wp_140_1,,
36013030100i183,84.0,f,36013030100h1156,8.0,36013037300w36,True,2046257,36013,1,176,1,30100,13,66200.0,19.0,1.0,1.0,66200.0,8.0,0,1,,,
