source_reindex,target_reindex,Relation
2047933,2078124,dc
2047933,2138151,dc
2047933,2078496,dc
2047933,2161650,dc
2047933,2084707,dc
2047903,2065588,dc
2047903,2058745,dc
2047903,2135937,dc
2047903,2105922,dc
2047903,2155370,dc
2047903,2135158,dc
2047918,2145490,dc
2047918,2086743,dc
2047918,2157147,dc
2047918,2054367,dc
2048411,2159514,dc
2048411,2156019,dc
2048411,2161045,dc
2048411,2120237,dc
2048411,2115551,dc
2045859,2143061,dc
2045859,2074515,dc
2045859,2149074,dc
2045859,2132437,dc
2045859,2053078,dc
2045926,2138919,dc
2045926,2128594,dc
2045926,2163454,dc
2045926,2051417,dc
2045939,2132586,dc
2045939,2128160,dc
2045939,2072906,dc
2045939,2090088,dc
2045939,2073345,dc
2045939,2081367,dc
2045956,2098845,dc
2045956,2059576,dc
2045956,2089019,dc
2045956,2059114,dc
2045956,2056672,dc
2045956,2130684,dc
2046367,2127780,dc
2046367,2134347,dc
2046367,2136847,dc
2046367,2050449,dc
2046743,2113648,dc
2046743,2122800,dc
2046743,2081808,dc
2046743,2049336,dc
2046743,2163360,dc
2046743,2140682,dc
2047013,2092204,dc
2047013,2082780,dc
2047013,2131103,dc
2047013,2156240,dc
2047013,2080511,dc
2047129,2146461,dc
2047129,2055631,dc
2047129,2106698,dc
2047129,2142704,dc
2047426,2088026,dc
2047426,2155008,dc
2047426,2086627,dc
2047426,2049706,dc
2051639,2095654,dc
2051639,2079023,dc
2051639,2090204,dc
2051639,2144053,dc
2051639,2161695,dc
2051639,2105595,dc
2051880,2130085,dc
2051880,2053016,dc
2051880,2064538,dc
2051880,2050834,dc
2052121,2055565,dc
2052121,2054738,dc
2052121,2049472,dc
2052121,2106049,dc
2052121,2086121,dc
2048600,2071073,dc
2048600,2053508,dc
2048600,2159514,dc
2048600,2106157,dc
2048600,2082464,dc
2048600,2115551,dc
2048600,2153560,dc
2048911,2088850,dc
2048911,2077097,dc
2048911,2083555,dc
2048911,2127931,dc
2048911,2090069,dc
2048970,2134076,dc
2048970,2132125,dc
2048970,2094063,dc
2048970,2155709,dc
2048970,2124246,dc
2049104,2144168,dc
2049104,2089778,dc
2049104,2071097,dc
2049104,2140660,dc
2049104,2155008,dc
2049104,2049706,dc
2049121,2056360,dc
2049121,2060679,dc
2049121,2146231,dc
2049121,2057501,dc
2049121,2058785,dc
2049230,2134993,dc
2049230,2082961,dc
2049230,2088173,dc
2049230,2119929,dc
2049336,2081808,dc
2049336,2087805,dc
2049336,2077001,dc
2049472,2118253,dc
2049472,2122003,dc
2049472,2054738,dc
2049472,2106049,dc
2049689,2050831,dc
2049689,2132586,dc
2049689,2162876,dc
2049689,2146262,dc
2049689,2064527,dc
2049689,2073345,dc
2049706,2086627,dc
2049706,2136928,dc
2049706,2070830,dc
2049709,2053508,dc
2049709,2115551,dc
2049709,2075732,dc
2049709,2139004,dc
2049709,2082464,dc
2049775,2074515,dc
2049775,2074081,dc
2049775,2061548,dc
2049775,2147327,dc
2049775,2079972,dc
2049779,2062767,dc
2049779,2051174,dc
2049779,2051107,dc
2049779,2120996,dc
2049779,2155524,dc
2049875,2103600,dc
2049875,2065720,dc
2049875,2077322,dc
2049875,2163014,dc
2049934,2052327,dc
2049934,2087139,dc
2049934,2057270,dc
2049934,2126369,dc
2050099,2055786,dc
2050099,2054050,dc
2050099,2085082,dc
2050099,2113441,dc
2050308,2057789,dc
2050308,2125286,dc
2050308,2053078,dc
2050308,2074081,dc
2050308,2061548,dc
2050354,2081195,dc
2050354,2121775,dc
2050354,2113648,dc
2050354,2085145,dc
2050354,2161662,dc
2050354,2122800,dc
2050354,2132725,dc
2050417,2126389,dc
2050417,2163082,dc
2050417,2116468,dc
2050417,2124048,dc
2050417,2085973,dc
2050417,2058356,dc
2050417,2105595,dc
2050420,2065240,dc
2050420,2128852,dc
2050420,2133458,dc
2050420,2070924,dc
2050449,2125539,dc
2050449,2136847,dc
2050449,2117917,dc
2050537,2076610,dc
2050537,2065089,dc
2050537,2078271,dc
2050537,2145071,dc
2050750,2100819,dc
2050750,2148739,dc
2050750,2060651,dc
2050750,2115697,dc
2050750,2063625,dc
2050831,2132586,dc
2050831,2081771,dc
2050831,2128160,dc
2050831,2073345,dc
2050831,2112865,dc
2050831,2058921,dc
2050834,2084575,dc
2050834,2160398,dc
2050834,2064538,dc
2050834,2124643,dc
2050834,2104112,dc
2050871,2061263,dc
2050871,2109310,dc
2050871,2058921,dc
2050871,2081367,dc
2050871,2073345,dc
2051107,2062767,dc
2051107,2051174,dc
2051107,2054166,dc
2051107,2071347,dc
2051174,2062767,dc
2051174,2054166,dc
2051174,2071347,dc
2051174,2113465,dc
2051367,2080577,dc
2051367,2107409,dc
2051367,2057348,dc
2051367,2061652,dc
2051367,2132754,dc
2051367,2139805,dc
2051417,2059735,dc
2051417,2163454,dc
2051417,2120692,dc
2051417,2130164,dc
2051454,2124341,dc
2051454,2084589,dc
2051454,2157846,dc
2051454,2082293,dc
2051454,2070687,dc
2053078,2110360,dc
2053078,2125286,dc
2053078,2074081,dc
2053078,2061548,dc
2053508,2071073,dc
2053508,2159514,dc
2053508,2156019,dc
2053508,2153560,dc
2052926,2063812,dc
2052926,2055358,dc
2052926,2128902,dc
2052926,2132754,dc
2052926,2061652,dc
2053158,2071073,dc
2053158,2115551,dc
2053158,2139004,dc
2053158,2082464,dc
2053158,2106157,dc
2053175,2059224,dc
2053175,2055335,dc
2053175,2109908,dc
2053175,2151680,dc
2053175,2155709,dc
2053175,2124246,dc
2053265,2084575,dc
2053265,2111932,dc
2053265,2052439,dc
2053265,2064538,dc
2053265,2069335,dc
2053265,2074446,dc
2053295,2125539,dc
2053295,2159195,dc
2053295,2060300,dc
2053295,2063973,dc
2053295,2109604,dc
2053311,2127494,dc
2053311,2055116,dc
2053311,2059691,dc
2053311,2073520,dc
2053311,2061024,dc
2053346,2081730,dc
2053346,2067184,dc
2053346,2076700,dc
2053346,2157372,dc
2053346,2091457,dc
2053428,2058921,dc
2053428,2081367,dc
2053428,2162876,dc
2053428,2146262,dc
2053620,2071122,dc
2053620,2109782,dc
2053620,2123457,dc
2053620,2077097,dc
2053719,2123935,dc
2053719,2126701,dc
2053719,2122912,dc
2053719,2134993,dc
2052227,2130374,dc
2052227,2106925,dc
2052227,2059253,dc
2052227,2125272,dc
2052227,2125799,dc
2052327,2068504,dc
2052327,2087942,dc
2052327,2087139,dc
2052397,2151680,dc
2052397,2115243,dc
2052397,2137746,dc
2052397,2152761,dc
2052397,2130903,dc
2052439,2124796,dc
2052439,2062215,dc
2052439,2122549,dc
2052439,2060708,dc
2052439,2064538,dc
2052617,2080734,dc
2052617,2058985,dc
2052617,2112712,dc
2052617,2122341,dc
2053016,2122549,dc
2053016,2060708,dc
2053016,2160398,dc
2053016,2130085,dc
2053016,2064538,dc
2055358,2063812,dc
2055358,2093562,dc
2055358,2139805,dc
2055358,2160752,dc
2055358,2128902,dc
2055631,2137596,dc
2055631,2146461,dc
2055631,2106698,dc
2055631,2120996,dc
2056941,2125264,dc
2056941,2116416,dc
2056941,2067936,dc
2056941,2058576,dc
2056941,2087728,dc
2057255,2064108,dc
2057255,2054310,dc
2057255,2102438,dc
2057255,2105749,dc
2057255,2069935,dc
2057270,2083593,dc
2057270,2087139,dc
2057270,2126369,dc
2057348,2107409,dc
2057348,2066516,dc
2057348,2084606,dc
2057348,2137716,dc
2057348,2128902,dc
2057501,2146231,dc
2057501,2058785,dc
2057501,2085817,dc
2054050,2150523,dc
2054050,2055786,dc
2054050,2085082,dc
2054166,2071347,dc
2054166,2137596,dc
2054166,2155524,dc
2054166,2123954,dc
2054240,2125539,dc
2054240,2130406,dc
2054240,2059595,dc
2054240,2112974,dc
2054240,2127780,dc
2054310,2089288,dc
2054310,2064108,dc
2054310,2102438,dc
2054310,2105749,dc
2054367,2145490,dc
2054367,2091457,dc
2054367,2157147,dc
2054418,2127494,dc
2054418,2055116,dc
2054418,2072872,dc
2054418,2092265,dc
2054418,2081125,dc
2054418,2066721,dc
2054418,2061333,dc
2054598,2157777,dc
2054598,2076089,dc
2054598,2115998,dc
2054598,2080734,dc
2054598,2058985,dc
2054598,2145445,dc
2054738,2082465,dc
2054738,2122003,dc
2054738,2079847,dc
2054738,2099729,dc
2054963,2094077,dc
2054963,2155370,dc
2054963,2135158,dc
2054963,2072363,dc
2055116,2127494,dc
2055116,2072872,dc
2055335,2134076,dc
2055335,2059224,dc
2055335,2109908,dc
2055565,2118253,dc
2055565,2074763,dc
2055565,2123469,dc
2055565,2088355,dc
2055565,2105467,dc
2055761,2102734,dc
2055761,2161037,dc
2055761,2126813,dc
2055761,2094627,dc
2055761,2114055,dc
2055761,2139293,dc
2055775,2155124,dc
2055775,2137310,dc
2055775,2079349,dc
2055775,2065240,dc
2055786,2145490,dc
2055786,2128054,dc
2055786,2150523,dc
2056360,2057838,dc
2056360,2103317,dc
2056360,2119610,dc
2056360,2096224,dc
2056360,2058785,dc
2056468,2085857,dc
2056468,2078124,dc
2056468,2143404,dc
2056468,2059686,dc
2056672,2059114,dc
2056672,2130684,dc
2056672,2152050,dc
2056672,2127331,dc
2057697,2124646,dc
2057697,2150081,dc
2057697,2068504,dc
2057697,2087942,dc
2058356,2118617,dc
2058356,2106508,dc
2058356,2094195,dc
2058356,2135781,dc
2058356,2090204,dc
2059114,2111709,dc
2059114,2134025,dc
2059114,2089019,dc
2059717,2087805,dc
2059717,2072032,dc
2059717,2112992,dc
2059717,2132725,dc
2059717,2085145,dc
2059735,2080836,dc
2059735,2152321,dc
2059735,2152122,dc
2059735,2068479,dc
2059735,2086416,dc
2059735,2129515,dc
2059905,2079349,dc
2059905,2133458,dc
2059905,2142832,dc
2059905,2163216,dc
2059905,2135385,dc
2059905,2078905,dc
2060281,2159514,dc
2060281,2153560,dc
2060281,2083723,dc
2060281,2083942,dc
2060281,2115551,dc
2060281,2139004,dc
2057745,2144964,dc
2057745,2099518,dc
2057745,2076089,dc
2057745,2115998,dc
2057789,2106218,dc
2057789,2149074,dc
2057789,2132437,dc
2057789,2140216,dc
2057789,2110360,dc
2057789,2061548,dc
2057789,2147327,dc
2057838,2095090,dc
2057838,2060943,dc
2057838,2160011,dc
2057838,2103317,dc
2057838,2096224,dc
2057838,2060679,dc
2058077,2129193,dc
2058077,2092631,dc
2058077,2124647,dc
2058077,2149612,dc
2058077,2112528,dc
2058077,2159088,dc
2058077,2063856,dc
2058128,2134633,dc
2058128,2084051,dc
2058128,2074008,dc
2058128,2101781,dc
2058128,2124646,dc
2058128,2150081,dc
2058510,2095090,dc
2058510,2087062,dc
2058510,2074395,dc
2058510,2085817,dc
2058510,2114210,dc
2058576,2161483,dc
2058576,2138302,dc
2058576,2116416,dc
2058707,2083778,dc
2058707,2111709,dc
2058707,2059576,dc
2058707,2150082,dc
2058707,2089019,dc
2058745,2162050,dc
2058745,2108392,dc
2058745,2125735,dc
2058745,2135937,dc
2058745,2105922,dc
2058785,2085817,dc
2058785,2114210,dc
2058859,2141321,dc
2058859,2134391,dc
2058859,2129193,dc
2058859,2112528,dc
2058859,2124647,dc
2058859,2092631,dc
2058921,2061263,dc
2058921,2109310,dc
2058921,2081367,dc
2058985,2080734,dc
2058985,2112712,dc
2058985,2071376,dc
2059224,2115955,dc
2059224,2134076,dc
2059224,2152761,dc
2059253,2106925,dc
2059253,2125272,dc
2059253,2127160,dc
2059253,2134812,dc
2059253,2087201,dc
2059295,2115434,dc
2059295,2124753,dc
2059295,2080159,dc
2059295,2145906,dc
2059414,2094504,dc
2059414,2084257,dc
2059414,2136990,dc
2059414,2071122,dc
2059414,2077097,dc
2059576,2129621,dc
2059576,2111709,dc
2059576,2150082,dc
2059576,2134025,dc
2059595,2130406,dc
2059595,2112974,dc
2059595,2159195,dc
2059595,2117917,dc
2059618,2101995,dc
2059618,2083505,dc
2059618,2076234,dc
2059618,2107023,dc
2059618,2070687,dc
2059686,2143404,dc
2059686,2060585,dc
2059686,2138151,dc
2059691,2083264,dc
2059691,2080098,dc
2059691,2061333,dc
2059691,2138386,dc
2060300,2112974,dc
2060300,2159195,dc
2060300,2063973,dc
2060300,2127780,dc
2060300,2160484,dc
2060360,2127494,dc
2060360,2081125,dc
2060360,2090728,dc
2060360,2151744,dc
2060360,2065191,dc
2060360,2066721,dc
2060679,2074395,dc
2060679,2121503,dc
2060679,2146231,dc
2062893,2085339,dc
2062893,2108254,dc
2062893,2068571,dc
2062893,2071931,dc
2062893,2115202,dc
2063374,2091186,dc
2063374,2069010,dc
2063374,2143912,dc
2063374,2064427,dc
2063374,2068571,dc
2063374,2108254,dc
2060359,2159088,dc
2060359,2063856,dc
2060359,2137548,dc
2060359,2145729,dc
2060359,2068907,dc
2060585,2136092,dc
2060585,2085857,dc
2060585,2143404,dc
2060585,2138151,dc
2060585,2078496,dc
2060626,2115860,dc
2060626,2085956,dc
2060626,2064439,dc
2060626,2123925,dc
2060626,2094504,dc
2060626,2090069,dc
2060626,2084257,dc
2060626,2136990,dc
2060651,2148739,dc
2060651,2115697,dc
2060651,2111458,dc
2060708,2122549,dc
2060708,2160398,dc
2060708,2130085,dc
2060708,2069335,dc
2060881,2111417,dc
2060881,2152798,dc
2060881,2109408,dc
2060881,2153943,dc
2060881,2132516,dc
2060881,2105059,dc
2060943,2087062,dc
2060943,2155674,dc
2060943,2160011,dc
2061024,2127494,dc
2061024,2138386,dc
2061024,2073520,dc
2061263,2072906,dc
2061263,2141196,dc
2061263,2112865,dc
2061263,2109310,dc
2061333,2109612,dc
2061333,2080098,dc
2061333,2138386,dc
2061333,2073520,dc
2061548,2074081,dc
2061548,2147327,dc
2061652,2080577,dc
2061652,2132754,dc
