source_reindex,target_reindex,Relation
2045430,2045461,hh
2046021,2046382,hh
2046021,2046521,hh
2046021,2047129,hh
2046021,2047658,hh
2047933,2045441,hh
2047933,2047033,hh
2047933,2047350,hh
2047933,2047661,hh
2048266,2046104,hh
2048365,2048032,hh
2048365,2047143,hh
2048483,2046367,hh
2048483,2046649,hh
2045591,2047886,hh
2045878,2045624,hh
2046189,2045995,hh
2046189,2046928,hh
2046208,2047582,hh
2046208,2047704,hh
2046208,2048120,hh
2046208,2047171,hh
2046208,2045926,hh
2046267,2047918,hh
2046267,2047611,hh
2046267,2045948,hh
2046267,2046911,hh
2046267,2046857,hh
2046386,2045525,hh
2046386,2045923,hh
2046386,2046335,hh
2046604,2048303,hh
2046604,2046607,hh
2046707,2046387,hh
2046795,2048364,hh
2046795,2045473,hh
2046795,2046703,hh
2046814,2045656,hh
2046814,2045732,hh
2046814,2047505,hh
2046875,2045468,hh
2046875,2045836,hh
2046965,2046836,hh
2046965,2047446,hh
2046965,2047462,hh
2047065,2048002,hh
2047065,2048152,hh
2047201,2046341,hh
2047201,2046941,hh
2047422,2048242,hh
2047422,2045720,hh
2047422,2045939,hh
2047422,2046854,hh
2047482,2047725,hh
2047582,2048120,hh
2047582,2045531,hh
2047582,2047704,hh
2047582,2045926,hh
2047582,2047171,hh
2047843,2046429,hh
2047878,2048209,hh
2047889,2045545,hh
2047889,2046383,hh
2047889,2046877,hh
2047889,2047691,hh
2047890,2048175,hh
2047890,2046302,hh
2047890,2046419,hh
2047890,2046740,hh
2047897,2048130,hh
2047897,2047486,hh
2047897,2047567,hh
2047900,2048304,hh
2047900,2047687,hh
2047900,2047238,hh
2047900,2047612,hh
2047900,2047362,hh
2047903,2048477,hh
2047908,2047504,hh
2047918,2045948,hh
2047918,2046857,hh
2047918,2047611,hh
2047918,2046911,hh
2047927,2045752,hh
2047927,2046112,hh
2047939,2048011,hh
2047939,2048214,hh
2047939,2048430,hh
2047974,2048331,hh
2047974,2045537,hh
2047974,2045665,hh
2047995,2047080,hh
2048002,2048152,hh
2048011,2048214,hh
2048011,2048430,hh
2048032,2047143,hh
2048049,2047388,hh
2048055,2047093,hh
2048055,2047456,hh
2048055,2047473,hh
2048062,2045997,hh
2048062,2046640,hh
2048062,2046841,hh
2048062,2046989,hh
2048064,2048443,hh
2048064,2047045,hh
2048089,2045690,hh
2048089,2045776,hh
2048089,2046592,hh
2048112,2046185,hh
2048112,2046447,hh
2048119,2047346,hh
2048120,2045531,hh
2048120,2045926,hh
2048120,2047704,hh
2048120,2047171,hh
2048128,2048182,hh
2048128,2048399,hh
2048128,2045956,hh
2048128,2047407,hh
2048130,2047486,hh
2048130,2047567,hh
2048142,2047270,hh
2048158,2045541,hh
2048175,2046302,hh
2048175,2046419,hh
2048175,2046740,hh
2048182,2048399,hh
2048182,2045956,hh
2048182,2047407,hh
2048214,2048430,hh
2048242,2045720,hh
2048242,2045939,hh
2048242,2046854,hh
2048263,2046223,hh
2048271,2046066,hh
2048303,2046607,hh
2048304,2047238,hh
2048304,2047362,hh
2048304,2047687,hh
2048304,2047612,hh
2048331,2045537,hh
2048331,2045665,hh
2048340,2048489,hh
2048340,2047572,hh
2048340,2046584,hh
2048340,2047213,hh
2048340,2046971,hh
2048360,2047151,hh
2048364,2045473,hh
2048364,2046703,hh
2048393,2046072,hh
2048393,2047193,hh
2048399,2045956,hh
2048399,2047407,hh
2048407,2045820,hh
2048407,2045998,hh
2048407,2046026,hh
2048407,2047125,hh
2048411,2048459,hh
2048411,2046731,hh
2048438,2047622,hh
2048443,2047045,hh
2048445,2047429,hh
2048445,2047639,hh
2048448,2045722,hh
2048448,2047329,hh
2048448,2045783,hh
2048448,2047013,hh
2048448,2046359,hh
2048458,2045833,hh
2048458,2047676,hh
2048458,2047810,hh
2048459,2046731,hh
2048489,2046584,hh
2048489,2046971,hh
2048489,2047572,hh
2045441,2047033,hh
2045441,2047350,hh
2045441,2047661,hh
2045468,2045836,hh
2045473,2046703,hh
2045525,2045923,hh
2045525,2046335,hh
2045531,2045926,hh
2045531,2047171,hh
2045537,2045665,hh
2045545,2046383,hh
2045545,2046877,hh
2045545,2047691,hh
2045549,2045912,hh
2045551,2047268,hh
2045556,2045677,hh
2045556,2045843,hh
2045556,2046764,hh
2045556,2047495,hh
2045608,2046065,hh
2045640,2046047,hh
2045656,2045732,hh
2045656,2047505,hh
2045677,2045843,hh
2045677,2046764,hh
2045677,2047495,hh
2045690,2045776,hh
2045690,2046592,hh
2045703,2045922,hh
2045720,2045939,hh
2045720,2046854,hh
2045722,2045783,hh
2045722,2045859,hh
2045722,2047329,hh
2045722,2046359,hh
2045732,2047505,hh
2045752,2046112,hh
2045770,2046504,hh
2045776,2046592,hh
2045783,2045859,hh
2045783,2046204,hh
2045820,2045998,hh
2045820,2046026,hh
2045820,2047125,hh
2045833,2047676,hh
2045833,2047810,hh
2045843,2046764,hh
2045843,2047495,hh
2045859,2046204,hh
2045859,2046359,hh
2045865,2047135,hh
2045871,2046180,hh
2045871,2046643,hh
2045923,2046335,hh
2045926,2047171,hh
2045926,2047704,hh
2045927,2046080,hh
2045927,2046548,hh
2045939,2046854,hh
2045948,2046857,hh
2045948,2046911,hh
2045956,2047407,hh
2045960,2046539,hh
2045960,2047710,hh
2045995,2046928,hh
2045997,2046640,hh
2045997,2046841,hh
2045997,2046989,hh
2045998,2046026,hh
2045998,2047125,hh
2046026,2047125,hh
2046057,2047094,hh
2046067,2046978,hh
2046072,2047193,hh
2046080,2046548,hh
2046177,2046436,hh
2046180,2046643,hh
2046185,2046447,hh
2046190,2046798,hh
2046190,2047406,hh
2046204,2046359,hh
2046204,2047013,hh
2046219,2046381,hh
2046302,2046419,hh
2046302,2046740,hh
2046318,2047365,hh
2046341,2046941,hh
2046359,2047013,hh
2046359,2047329,hh
2046367,2046649,hh
2046369,2046651,hh
2046369,2047799,hh
2046369,2046765,hh
2046369,2047653,hh
2046369,2047057,hh
2046382,2046521,hh
2046382,2047129,hh
2046382,2047658,hh
2046383,2046877,hh
2046383,2047691,hh
2046394,2046650,hh
2046394,2046780,hh
2046419,2046740,hh
2046426,2047666,hh
2046448,2047117,hh
2046508,2047348,hh
2046521,2047129,hh
2046521,2047658,hh
2046539,2047710,hh
2046584,2046971,hh
2046584,2047213,hh
2046619,2046855,hh
2046640,2046841,hh
2046640,2046989,hh
2046650,2046780,hh
2046651,2046765,hh
2046651,2047057,hh
2046651,2047799,hh
2046725,2047764,hh
2046743,2047233,hh
2046764,2047495,hh
2046765,2047057,hh
2046765,2047653,hh
2046798,2047406,hh
2046836,2047446,hh
2046836,2047462,hh
2046841,2046989,hh
2046857,2046911,hh
2046857,2047611,hh
2046877,2047691,hh
2046898,2047426,hh
2046911,2047611,hh
2046971,2047213,hh
2046971,2047572,hh
2047013,2047329,hh
2047033,2047350,hh
2047033,2047661,hh
2047052,2047267,hh
2047057,2047653,hh
2047057,2047799,hh
2047085,2047258,hh
2047093,2047456,hh
2047093,2047473,hh
2047129,2047658,hh
2047171,2047704,hh
2047213,2047572,hh
2047238,2047362,hh
2047238,2047612,hh
2047238,2047687,hh
2047280,2047581,hh
2047280,2047739,hh
2047350,2047661,hh
2047362,2047612,hh
2047362,2047687,hh
2047429,2047639,hh
2047446,2047462,hh
2047456,2047473,hh
2047486,2047567,hh
2047581,2047739,hh
2047612,2047687,hh
2047653,2047799,hh
2047676,2047810,hh
2047715,2047788,hh
2048495,2048659,hh
2048495,2050286,hh
2048908,2050100,hh
2049211,2050593,hh
2049211,2050623,hh
2050649,2051789,hh
2050649,2051478,hh
2050649,2051902,hh
2050649,2050354,hh
2050649,2049670,hh
2051566,2051174,hh
2051740,2051727,hh
2051740,2052075,hh
2051740,2050097,hh
2051740,2050126,hh
2051790,2051880,hh
2051790,2049121,hh
2051790,2049335,hh
2051790,2050449,hh
2051969,2051927,hh
2051969,2052031,hh
2051969,2050211,hh
2051969,2051496,hh
2052023,2049339,hh
2052023,2050377,hh
2048517,2049521,hh
2048527,2048543,hh
2048527,2050341,hh
2048527,2050941,hh
2048701,2051895,hh
2048701,2049401,hh
