source_reindex,target_reindex,Relation
2045430,2046021,sm
2045430,2048483,sm
2045430,2045524,sm
2045430,2045591,sm
2045430,2045878,sm
2045430,2046208,sm
2045430,2046267,sm
2045430,2046386,sm
2045430,2046604,sm
2045430,2046707,sm
2045430,2046795,sm
2045430,2046814,sm
2045430,2046875,sm
2045430,2046965,sm
2045430,2047065,sm
2045430,2047201,sm
2045430,2047582,sm
2045430,2047765,sm
2045430,2047843,sm
2045430,2047886,sm
2045430,2047897,sm
2045430,2047900,sm
2045430,2047927,sm
2045430,2047974,sm
2045430,2047995,sm
2045430,2048011,sm
2045430,2048049,sm
2045430,2048062,sm
2045430,2048064,sm
2045430,2048103,sm
2045430,2048112,sm
2045430,2048119,sm
2045430,2048128,sm
2045430,2048130,sm
2045430,2048158,sm
2045430,2048182,sm
2045430,2048209,sm
2045430,2048242,sm
2045430,2048271,sm
2045430,2048303,sm
2045430,2048304,sm
2045430,2048331,sm
2045430,2048340,sm
2045430,2048364,sm
2045430,2048393,sm
2045430,2048399,sm
2045430,2048407,sm
2045430,2048430,sm
2045430,2048443,sm
2045430,2048458,sm
2045430,2048459,sm
2045430,2048477,sm
2045430,2045468,sm
2045430,2045608,sm
2045430,2045677,sm
2045430,2045752,sm
2045430,2045922,sm
2045430,2045998,sm
2045430,2046065,sm
2045430,2046112,sm
2045430,2046177,sm
2045430,2046335,sm
2045430,2046382,sm
2045430,2046426,sm
2045430,2046436,sm
2045430,2046539,sm
2045430,2046640,sm
2045430,2046651,sm
2045430,2046703,sm
2045430,2046725,sm
2045430,2046841,sm
2045430,2046857,sm
2045430,2046864,sm
2045430,2046978,sm
2045430,2047093,sm
2045430,2047094,sm
2045430,2047104,sm
2045430,2047117,sm
2045430,2047178,sm
2045430,2047267,sm
2045430,2047329,sm
2045430,2047462,sm
2045430,2047490,sm
2045430,2047676,sm
2045430,2047710,sm
2045430,2047715,sm
2045430,2049133,sm
2045430,2049997,sm
2045430,2051132,sm
2045430,2051297,sm
2045430,2051595,sm
2045430,2051641,sm
2045430,2051671,sm
2045430,2051714,sm
2045430,2051779,sm
2045430,2051829,sm
2045430,2051950,sm
2045430,2052013,sm
2045430,2052025,sm
2045430,2048555,sm
2045430,2048560,sm
2045430,2048611,sm
2045430,2048632,sm
2045430,2048706,sm
2045430,2048771,sm
2045430,2048781,sm
2045430,2049106,sm
2045430,2049109,sm
2045430,2049117,sm
2045430,2049159,sm
2045430,2049196,sm
2045430,2049219,sm
2045430,2049335,sm
2045430,2049372,sm
2045430,2049374,sm
2045430,2049419,sm
2045430,2049565,sm
2045430,2049728,sm
2045430,2049848,sm
2045430,2049877,sm
2045430,2049897,sm
2045430,2049959,sm
2045430,2049990,sm
2045430,2050102,sm
2045430,2050126,sm
2045430,2050183,sm
2045430,2050655,sm
2045430,2050876,sm
2045430,2050917,sm
2045430,2050950,sm
2045430,2050987,sm
2045430,2051383,sm
2045430,2051479,sm
2045430,2053447,sm
2045430,2052729,sm
2045430,2053157,sm
2045430,2053344,sm
2045430,2053511,sm
2045430,2053826,sm
2045430,2053851,sm
2045430,2053920,sm
2045430,2052411,sm
2045430,2052565,sm
2045430,2052616,sm
2045430,2052634,sm
2045430,2052943,sm
2045430,2052962,sm
2045430,2053009,sm
2045430,2053086,sm
2045430,2053124,sm
2045430,2053128,sm
2045430,2057179,sm
2045430,2057438,sm
2045430,2055053,sm
2045430,2055317,sm
2045430,2056587,sm
2045430,2057013,sm
2045430,2057132,sm
2045430,2057249,sm
2045430,2057305,sm
2045430,2057565,sm
2045430,2053989,sm
2045430,2054201,sm
2045430,2054727,sm
2045430,2054906,sm
2045430,2055148,sm
2045430,2055299,sm
2045430,2055375,sm
2045430,2055409,sm
2045430,2055493,sm
2045430,2055502,sm
2045430,2055596,sm
2045430,2055829,sm
2045430,2056016,sm
2045430,2056019,sm
2045430,2056082,sm
2045430,2056272,sm
2045430,2056281,sm
2045430,2056338,sm
2045430,2056669,sm
2045430,2056721,sm
2045430,2056730,sm
2045430,2059012,sm
2045430,2059730,sm
2045430,2059751,sm
2045430,2059835,sm
2045430,2060080,sm
2045430,2057973,sm
2045430,2058093,sm
2045430,2058312,sm
2045430,2058503,sm
2045430,2059307,sm
2045430,2060660,sm
2045430,2062812,sm
2045430,2062888,sm
2045430,2063001,sm
2045430,2063347,sm
2045430,2060750,sm
